field_code,account_number,sign_condition,description
7201,1063,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1064,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1065,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1066,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1067,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1068,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1069,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1070,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1071,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1072,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1073,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1074,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1075,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1076,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1077,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1078,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1079,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1080,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1081,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1082,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1083,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1084,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1085,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1086,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1087,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7202,1088,NONE,Förskott avseende immateriella anläggningstillgångar
7201,1089,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1090,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1091,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1092,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1093,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1094,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1095,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1096,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1097,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1098,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7201,1099,NONE,Koncessioner, patent, licenser, varumärken, hyresrätter, goodwill och liknande rättigheter
7214,1100,NONE,Byggnader och mark
7214,1101,NONE,Byggnader och mark
7214,1102,NONE,Byggnader och mark
7214,1103,NONE,Byggnader och mark
7214,1104,NONE,Byggnader och mark
7214,1105,NONE,Byggnader och mark
7214,1106,NONE,Byggnader och mark
7214,1107,NONE,Byggnader och mark
7214,1108,NONE,Byggnader och mark
7214,1109,NONE,Byggnader och mark
7214,1110,NONE,Byggnader och mark
7214,1111,NONE,Byggnader och mark
7214,1112,NONE,Byggnader och mark
7214,1113,NONE,Byggnader och mark
7214,1114,NONE,Byggnader och mark
7214,1115,NONE,Byggnader och mark
7214,1116,NONE,Byggnader och mark
7214,1117,NONE,Byggnader och mark
7214,1118,NONE,Byggnader och mark
7214,1119,NONE,Byggnader och mark
7216,1120,NONE,Förbättringsutgifter på annans fastighet
7216,1121,NONE,Förbättringsutgifter på annans fastighet
7216,1122,NONE,Förbättringsutgifter på annans fastighet
7216,1123,NONE,Förbättringsutgifter på annans fastighet
7216,1124,NONE,Förbättringsutgifter på annans fastighet
7216,1125,NONE,Förbättringsutgifter på annans fastighet
7216,1126,NONE,Förbättringsutgifter på annans fastighet
7216,1127,NONE,Förbättringsutgifter på annans fastighet
7216,1128,NONE,Förbättringsutgifter på annans fastighet
7216,1129,NONE,Förbättringsutgifter på annans fastighet
7214,1130,NONE,Byggnader och mark
7214,1131,NONE,Byggnader och mark
7214,1132,NONE,Byggnader och mark
7214,1133,NONE,Byggnader och mark
7214,1134,NONE,Byggnader och mark
7214,1135,NONE,Byggnader och mark
7214,1136,NONE,Byggnader och mark
7214,1137,NONE,Byggnader och mark
7214,1138,NONE,Byggnader och mark
7214,1139,NONE,Byggnader och mark
7214,1140,NONE,Byggnader och mark
7214,1141,NONE,Byggnader och mark
7214,1142,NONE,Byggnader och mark
7214,1143,NONE,Byggnader och mark
7214,1144,NONE,Byggnader och mark
7214,1145,NONE,Byggnader och mark
7214,1146,NONE,Byggnader och mark
7214,1147,NONE,Byggnader och mark
7214,1148,NONE,Byggnader och mark
7214,1149,NONE,Byggnader och mark
7214,1150,NONE,Byggnader och mark
7214,1151,NONE,Byggnader och mark
7214,1152,NONE,Byggnader och mark
7214,1153,NONE,Byggnader och mark
7214,1154,NONE,Byggnader och mark
7214,1155,NONE,Byggnader och mark
7214,1156,NONE,Byggnader och mark
7214,1157,NONE,Byggnader och mark
7214,1158,NONE,Byggnader och mark
7214,1159,NONE,Byggnader och mark
7214,1160,NONE,Byggnader och mark
7214,1161,NONE,Byggnader och mark
7214,1162,NONE,Byggnader och mark
7214,1163,NONE,Byggnader och mark
7214,1164,NONE,Byggnader och mark
7214,1165,NONE,Byggnader och mark
7214,1166,NONE,Byggnader och mark
7214,1167,NONE,Byggnader och mark
7214,1168,NONE,Byggnader och mark
7214,1169,NONE,Byggnader och mark
7214,1170,NONE,Byggnader och mark
7214,1171,NONE,Byggnader och mark
7214,1172,NONE,Byggnader och mark
7214,1173,NONE,Byggnader och mark
7214,1174,NONE,Byggnader och mark
7214,1175,NONE,Byggnader och mark
7214,1176,NONE,Byggnader och mark
7214,1177,NONE,Byggnader och mark
7214,1178,NONE,Byggnader och mark
7214,1179,NONE,Byggnader och mark
7217,1180,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1181,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1182,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1183,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1184,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1185,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1186,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1187,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1188,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7217,1189,NONE,Pågående nyanläggningar och förskott avseende materiella anläggningstillgångar
7214,1190,NONE,Byggnader och mark
7214,1191,NONE,Byggnader och mark
7214,1192,NONE,Byggnader och mark
7214,1193,NONE,Byggnader och mark
7214,1194,NONE,Byggnader och mark
7214,1195,NONE,Byggnader och mark
7214,1196,NONE,Byggnader och mark
7214,1197,NONE,Byggnader och mark
7214,1198,NONE,Byggnader och mark
7214,1199,NONE,Byggnader och mark
7215,1200,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1201,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1202,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1203,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1204,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1205,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1206,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1207,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1208,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1209,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1210,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1211,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1212,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1213,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1214,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1215,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1216,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1217,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1218,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1219,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1220,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1221,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1222,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1223,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1224,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1225,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1226,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1227,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1228,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1229,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1230,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
7215,1231,NONE,Maskiner, inventarier och övriga materiella anläggningstillgångar
